clk,posX,posY,BodPosX,BodPosY
0,0.06684587122268226,0,100,0
75,0.06684587122268226,0,100,0
150,0.06684579631153408,0.00019056079620382752,100,0
225,0.06684557157958,0.00038112116530693025,100,0
300,0.06684519703129159,0.000571680680232164,100,0
375,0.06684467267412078,0.0007622389139495384,100,0
450,0.06684399851849936,0.0009527954394997878,100,0
525,0.066843174577838,0.0011433498300179301,100,0
600,0.06684220086852484,0.0013339016587568056,100,0
675,0.06684107740992405,0.0015244504991106052,100,0
750,0.06683980422437408,0.0017149959246383758,100,0
825,0.0668383813371853,0.0019055375090874928,100,0
900,0.06683680877663786,0.0020960748264171125,100,0
975,0.06683508657397891,0.0022866074508215892,100,0
1050,0.06683321476341965,0.0024771349567538513,100,0
1125,0.06683119338213218,0.0026676569189487483,100,0
1200,0.06682902247024587,0.0028581729124463394,100,0
1275,0.06682670207084374,0.003048682512615153,100,0
1350,0.06682423222995822,0.0032391852951753775,100,0
1425,0.06682161299656704,0.0034296808362220188,100,0
1500,0.06681884442258845,0.003620168712247974,100,0
1575,0.0668159265628764,0.0038106485001670742,100,0
1650,0.06681285947521542,0.00400111977733703,100,0
1725,0.06680964322031521,0.0041915821215823545,100,0
1800,0.0668062778618049,0.004382035111217153,100,0
1875,0.06680276346622709,0.0045724783250679,100,0
1950,0.06679910010303167,0.0047629113424961,100,0
2025,0.0667952878445694,0.004953333743420884,100,0
2100,0.06679132676608494,0.005143745108341493,100,0
2175,0.06678721694571006,0.005334145018359729,100,0
2250,0.06678295846445632,0.0055245330552022584,100,0
2325,0.06677855140620734,0.005714908801242846,100,0
2400,0.06677399585771125,0.005905271839524494,100,0
2475,0.06676929190857255,0.006095621753781476,100,0
2550,0.06676443965124373,0.006285958128461255,100,0
2625,0.06675943918101683,0.006476280548746316,100,0
2700,0.06675429059601455,0.0066665886005758766,100,0
2775,0.06674899399718119,0.0068568818706674665,100,0
2850,0.06674354948827341,0.0070471599465384204,100,0
2925,0.06673795717585058,0.007237422416527254,100,0
3000,0.06673221716926513,0.007427668869814877,100,0
3075,0.0667263295806523,0.00761789889644572,100,0
3150,0.06672029452492002,0.007808112087348709,100,0
3225,0.06671411211973842,0.007998308034358125,100,0
3300,0.06670778248552892,0.008188486330234328,100,0
3375,0.06670130574545344,0.008378646568684332,100,0
3450,0.06669468202540295,0.008568788344382251,100,0
3525,0.06668791145398634,0.008758911252989582,100,0
3600,0.06668099416251845,0.008949014891175396,100,0
3675,0.0666739302850084,0.00913909885663632,100,0
3750,0.0666667199581473,0.009329162748116371,100,0
3825,0.06665936332129613,0.009519206165426728,100,0
3900,0.06665186051647297,0.009709228709465206,100,0
3975,0.0666442116883404,0.009899229982235698,100,0
4050,0.06663641698419247,0.010089209586867385,100,0
4125,0.06662847655394152,0.010279167127633812,100,0
4200,0.06662039055010487,0.010469102209971787,100,0
4275,0.066612159127791,0.010659014440500101,100,0
4350,0.06660378244468618,0.010848903427038127,100,0
4425,0.06659526066104005,0.011038768778624211,100,0
4500,0.06658659393965168,0.011228610105533856,100,0
4575,0.06657778244585519,0.011418427019297806,100,0
4650,0.06656882634750513,0.011608219132719906,100,0
4725,0.06655972581496174,0.011797986059894783,100,0
4800,0.06655048102107611,0.011987727416225348,100,0
4875,0.06654109214117492,0.01217744281844013,100,0
4950,0.06653155935304525,0.012367131884610395,100,0
5025,0.06652188283691918,0.012556794234167128,100,0
5100,0.06651206277545803,0.012746429487917755,100,0
5175,0.06650209935373663,0.01293603726806274,100,0
5250,0.06649199275922733,0.013125617198211936,100,0
5325,0.06648174318178392,0.013315168903400803,100,0
5400,0.06647135081362528,0.013504692010106347,100,0
